emis_code,school_name,cluster,tehsil,students,lat,lon
34110214,GPS Kot Bhano Shah,C-1,Gujranwala,238,32.08175,74.152056
34110621,GGPS Iftikhar Colony,C-1,Gujranwala,355,32.115167,74.16275
34110320,GGPS Qila Sunder Singh,C-1,Gujranwala,302,32.136833,74.157
34110468,GGPS Kot Shera,C-1,Gujranwala,281,32.124306,74.125222
34110627,GGPS Hassan Pura,C-1,Gujranwala,244,32.164222,74.148389
34110167,GPS Rehman Pura,C-1,Gujranwala,322,32.161472,74.16075
34110161,GPS Javed Islamia,C-1,Gujranwala,248,32.158333,74.1705
34110518,GPS Mc No. 18,C-1,Gujranwala,241,32.164056,74.168444
34110256,GPS Rahwali No. 1,C-1,Gujranwala,600,32.250417,74.172472
34110242,GPS Rahwali No. 2,C-1,Gujranwala,270,32.255639,74.161444
34120186,GPS Baghrian Kohna,C-1,Wazirabad,210,32.350778,74.199444
34120145,GPS Jandiala Dhabwala,C-1,Wazirabad,221,32.363806,74.132167
34120108,GPS Dadwali,C-1,Wazirabad,177,32.383778,74.136139
34110193,GPS Solukhan Abad,C-2,Gujranwala,290,32.178389,74.264306
34110200,GPS Mokhal Sindwan,C-2,Gujranwala,208,32.17825,74.351667
34110353,GMPS Tohar Kalan,C-2,Gujranwala,135,32.1655,74.272194
34110616,GMPS Dolo Wali,C-2,Gujranwala,186,32.135722,74.348
34110221,GPS Muslim Chak,C-2,Gujranwala,230,32.118861,74.234028
34110175,GPS Khokhar Ke,C-2,Gujranwala,200,32.172444,74.202167
34110405,GMPS Kotli Dianat Rai,C-2,Gujranwala,195,32.084833,74.295861
34110194,GPS Gaggar Kay,C-2,Gujranwala,157,32.179944,74.283639
34110181,GPS Muslim Feroze Wala ,C-2,Gujranwala,265,32.157806,74.212444
34110208,GPS Nawan Pind,C-2,Gujranwala,137,32.129222,74.287889
34110171,GPS Kalyar Sabri,C-2,Gujranwala,360,32.165278,74.213056
34110183,GPS Millat Saddique ,C-2,Gujranwala,240,32.133722,74.202222
34130304,GGPS Manhais,C-3,Kamoki,265,31.923583,74.227083
34130373,GGPS Nithran Wali,C-3,Kamoki,140,31.927778,74.286
34130496,GPS Mc No.5 Kamoke,C-3,Kamoki,282,31.970472,74.218667
34130288,GGPS Darga Pur,C-3,Kamoki,275,31.931639,74.185222
34130229,GPS Manhes,C-3,Kamoki,248,31.923417,74.227056
34130419,GMPS Samun Bala,C-3,Kamoki,205,31.982778,74.293444
34130505,GGPS Ward No.3 Kmk,C-3,Kamoki,281,31.976361,74.233056
34130081,GPS Eminabad No.4,C-3,Kamoki,231,32.042556,74.253
34130506,GMPS Khot Kalan,C-3,Kamoki,296,32.007333,74.20525
34110415,GMPS Musa Pur,C-3,Gujranwala,165,32.070944,74.231472
34110212,GPS Lorriki,C-3,Gujranwala,115,32.07025,74.241306
34140378,GMPS Chak Chatha,C-4,Noshera Virkan,165,32.122139,73.916278
34140363,GMPS Kot Lala,C-4,Noshera Virkan,135,32.123972,73.861056
34140224,GPS Udho Wali,C-4,Noshera Virkan,220,32.143944,73.89525
34140351,GGPS Chandar,C-4,Noshera Virkan,246,32.104778,73.81325
34140365,GMPS Ram Garh,C-4,Noshera Virkan,200,32.100833,73.861639
34110489,GPS No.3 Nai Abadi Ladhay Wala,C-4,Gujranwala,739,32.153889,74.125139
34110441,GMPS Ball,C-4,Gujranwala,135,32.157111,74.03
34110270,GPS No.2 Qila Didar Singh,C-4,Gujranwala,345,32.1295,74.014722
34110300,GPS Dhendh Say,C-4,Gujranwala,135,32.21475,74.037083
34110432,GMPS Hardo Burrhi,C-4,Gujranwala,200,32.149528,74.000028
34110437,GMPS Jhugian,C-4,Gujranwala,220,32.294611,74.151278
34110440,GMPS Kalu Wali,C-4,Gujranwala,200,32.161694,74.042056
34140216,GPS Bhiri Shah Rehman,C-4,Noshera Virkan,149,32.125139,73.819139
34110433,GGPS Heigher,C-4,Gujranwala,130,32.160833,74.007222
